time (s),motor position (nm),sensor position (nm)
6.182372814,29729448,2939
6.187394813,29779445,3980
6.192705962,29830067,4077
6.197678918,29879894,3747
6.202432087,29930743,3841
6.2075114,29981362,3760
6.213173501,30029714,3500
6.21753437,30080469,3818
6.222480907,30130977,3813
6.227512266,30181496,2736
6.23272219,30231043,3482
6.237493268,30279782,4019
6.242602534,30330166,3543
6.247390522,30380170,2670
6.2525222750000005,30429784,4328
6.2574664460000005,30479615,3347
6.262504437,30530511,3710
6.267526745,30579932,2990
6.272559634,30630155,4483
6.277607284,30679193,3479
6.282478463,30729261,3952
6.287850443,30779271,4138
6.292710901,30827153,4137
6.297485216,30853336,4080
6.302692353,30692765,3855
6.307499278,30851547,3773
6.312563399,30982335,3104
6.317428663,31060254,3954
6.322710664,31120208,3788
6.327607598,31173211,4034
6.332616642,31225561,4005
6.337519515,31276030,4329
6.342464771,31326184,3441
6.347632335,31377230,3636
6.352428502,31428490,3602
6.357641241,31478242,4114
6.362397147,31528699,4454
6.367700105,31578699,4075
6.372532999,31629140,3850
6.377472335,31679676,4083
6.382766806,31729029,3616
6.387648142,31779626,3893
6.392497944,31830061,4761
6.397655844,31881056,3662
6.402602434,31930480,3524
6.407485568,31980306,4547
6.412641298,32030537,3623
6.417404108,32079955,3833
6.422729773,32130028,3916
6.427528669,32180256,4431
6.432775561,32229753,3444
6.43745042,32280448,3822
6.44243925,32329322,4095
6.44761012,32380424,3354
6.452627895,32429835,3872
6.457460255,32479688,4958
6.462498742,32529604,4453
6.467460363,32579213,5157
6.472519026,32628638,3568
6.477553059,32679525,4948
6.482732636,32727105,3354
6.48744007,32750291,3461
6.492618007,32590088,4242
6.497563788,32759139,4302
6.502472658,32885287,2221
6.507561459,32961963,3400
6.512397048,33020274,3788
6.517497115,33073946,3859
6.522685748,33125000,2704
6.527572769,33176291,3772
6.532633741,33225909,4490
6.53746601,33277076,3948
6.542502014,33328191,4254
6.547662661,33378734,4299
6.552713367,33429266,5071
6.557419781,33478654,4020
6.562477416,33529840,3229
6.567683619,33579369,3215
6.57248785,33629392,3475
6.577689475,33679660,3890
6.582641602,33730401,2885
6.58739384,33780800,3715
6.592361693,33830016,2862
6.597534479,33880449,3199
6.602651448,33931408,4725
6.607449662,33980765,4206
6.612438028,34030062,2381
6.617517964,34081799,4345
6.622476641,34130315,2442
6.627584543,34180846,3300
6.632613929,34230301,3514
6.6375000360000005,34280505,4127
6.642480139,34330682,4371
6.647683263,34379806,4624
6.652496292,34429769,4478
6.657459757,34479524,4123
6.662661677,34529500,4248
6.667657163,34579261,3901
6.67252651,34627321,4257
6.677679964,34659788,4143
6.682676863,34526320,3488
6.687437473,34631894,3942
6.69235762,34773230,3648
6.6977181649999995,34859388,573
6.702414937,34919753,2712
6.7076098779999995,34973577,2983
6.712798078,35024810,3425
6.717655708,35075091,3965
6.722543609,35126786,4393
6.727703629,35177886,4691
6.732691365,35228315,4821
6.7374878,35278423,4111
6.742662231,35328878,4347
6.747502217,35379340,5000
6.752672049,35430489,4384
6.757686116,35479367,5913
6.762676482,35529569,3747
6.767625236,35579880,4879
6.772528594,35629214,4794
6.777597569,35680702,4375
6.782641793,35730302,3288
6.787503644,35781065,5118
6.7924967689999995,35830272,3899
6.7977496649999996,35880437,3421
6.802448623,35930735,3846
6.8074696580000005,35980628,3939
6.81251861,36029824,3800
6.817425002,36080945,3228
6.822646999,36129920,4366
6.827506304,36179132,4296
6.832709179,36230722,4864
6.837663945,36279336,5023
6.842497996,36329841,4993
6.847531728,36380085,3856
6.852758071,36428457,3648
6.8575281839999995,36477640,4927
6.862660765,36527123,4407
6.867445493,36566471,4215
6.8725142120000005,36535295,3844
