time (s),force (N)
6.251943026,-1.55822753906
6.256948178,-1.55647277832
6.261884451,-1.55799865723
6.266972891,-1.572265625
6.271876737,-1.55700683594
6.2769375,-1.55685424805
6.281908557,-1.55754089355
6.287056732,-1.55616760254
6.292201539,-1.56455993652
6.296916352,-1.55731201172
6.301900058,-1.55754089355
6.306929229,-1.58813476562
6.312011483,-1.55624389648
6.316938959,-1.55807495117
6.321908215,-1.55601501465
6.326877756,-1.55570983887
6.332587568,-1.51962280273
6.3370227,-1.55654907227
6.34195036,-1.55838012695
6.346933416,-1.55487060547
6.351962837,-1.55647277832
6.356946147,-1.56097412109
6.361993629,-1.55708312988
6.367023461,-1.55738830566
6.371955209,-1.60354614258
6.376891789,-1.55693054199
6.381934779,-1.55471801758
6.386988414,-1.55548095703
6.39194461,-1.55693054199
6.396920509,-1.52801513672
6.401937277,-1.55807495117
6.406955141,-1.55563354492
6.412095295,-1.50268554688
6.416866468,-1.55708312988
6.421906142,-1.55914306641
6.426891251,-1.55540466309
6.432046766,-1.55815124512
6.437014774,-1.57562255859
6.441890737,-1.5567779541
6.446949935,-1.55662536621
6.451920305,-1.55654907227
6.45689217,-1.55685424805
6.461915305,-1.55899047852
6.466925781,-1.55662536621
6.472062588,-1.55578613281
6.47702996,-1.53533935547
6.481908585,-1.55754089355
6.486989383,-1.55601501465
6.491920853,-1.55662536621
6.496947559,-1.55700683594
6.501887342,-1.55532836914
6.506949648,-1.55708312988
6.511988783,-1.55616760254
6.516906014,-1.53823852539
6.521973431,-1.55822753906
6.526996774,-1.5559387207
6.532019726,-1.55746459961
6.536969887,-1.55639648438
6.541948273,-1.52160644531
6.546995837,-1.5559387207
6.5520091449999995,-1.55776977539
6.556962844,-1.55670166016
6.561881261,-1.55700683594
6.56690841,-1.55853271484
6.572225884,-1.55639648438
6.576936206,-1.55731201172
6.5819276460000005,-1.59339904785
6.586937519,-1.55738830566
6.591956168,-1.55776977539
6.597038608,-1.55647277832
6.60201439,-1.55624389648
6.607014249,-1.55426025391
6.611948734,-1.55693054199
6.61698396,-1.55502319336
6.62195088,-1.51496887207
6.626898357,-1.55784606934
6.632597593,-1.55654907227
6.636980489,-1.55807495117
6.641942531,-1.55876159668
6.647057114,-1.56394958496
6.652057374,-1.55570983887
6.6569893350000005,-1.55723571777
6.661907913,-1.54441833496
6.666983506,-1.55769348145
6.671983703,-1.55311584473
6.677043481,-1.55685424805
6.681974599,-1.55601501465
6.6870068499999995,-1.56372070312
6.691970263,-1.55624389648
6.696941284,-1.55670166016
6.70188612,-1.55715942383
6.706976284,-1.55662536621
6.712646856,-1.57127380371
6.717024285,-1.55746459961
6.722075058,-1.55700683594
6.726972238,-1.55540466309
6.731945553,-1.55754089355
6.736904379,-1.54235839844
6.741969148,-1.5559387207
6.747012921,-1.55548095703
6.751992369,-1.57035827637
6.757005222,-1.55754089355
6.761896612,-1.54907226562
6.767023082,-1.55746459961
6.771990971,-1.55471801758
6.776977463,-1.55212402344
6.781947007,-1.55639648438
6.7869884670000005,-1.5559387207
6.791927675,-1.55700683594
6.796932191,-1.55792236328
6.80188874,-1.56425476074
6.806874785,-1.55570983887
6.811977133,-1.55540466309
6.816957253,-1.56730651855
6.821891914,-1.55662536621
6.82685078,-1.55700683594
6.832264782,-1.55639648438
6.837002765,-1.55807495117
6.8419145,-1.59873962402
6.847005365,-1.55700683594
6.852055777,-1.55792236328
6.85698124,-1.55738830566
6.861959937,-1.55723571777
6.866929015,-1.57737731934
6.872163278,-1.55715942383
6.876959358,-1.55685424805
6.881928958,-1.55715942383
6.887009859,-1.55654907227
6.891968249,-1.55265808105
6.896958047,-1.55662536621
6.901908208,-1.55639648438
6.906944995,-1.6039276123
6.912120198,-1.55654907227
6.916998308,-1.5592956543
6.9219889,-1.55609130859
6.926980894,-1.55654907227
6.932320627,-1.56372070312
6.937026981,-1.55662536621
6.941946636,-1.5552520752
6.94696085,-1.55609130859
6.951946638,-1.55609130859
6.956908851,-1.54777526855
6.962014828,-1.55601501465
6.9669468089999995,-1.55799865723
6.971950274,-1.57981872559
6.976906108,-1.55746459961
6.981985524,-1.55662536621
6.986958285,-1.55670166016
6.991940392,-1.5567779541
6.9969286,-1.58050537109
7.001823395,-1.55616760254
7.006932268,-1.55815124512
7.012026788,-1.50253295898
7.016947325,-1.5567779541
7.021978334,-1.5601348877
7.026934918,-1.55654907227
7.031921366,-1.55754089355
7.036909846,-1.53335571289
7.041921771,-1.55731201172
7.046842935,-1.55616760254
7.051889018,-1.59866333008
7.056994695,-1.55685424805
7.061954173,-1.56127929688
7.066954323,-1.55601501465
7.072015477,-1.55586242676
7.076995357,-1.58996582031
7.081899277,-1.55738830566
7.086909782,-1.55616760254
7.091903598,-1.55647277832
7.096888096,-1.55685424805
7.101907291,-1.55235290527
7.10693096,-1.55738830566
7.111993723,-1.55715942383
7.116889811,-1.5934753418
7.121851875,-1.55586242676
7.126842335,-1.55403137207
7.131974317,-1.55731201172
7.136872471,-1.55662536621
7.141967075,-1.54754638672
7.146943286,-1.55670166016
7.152183692,-1.55738830566
7.156928903,-1.55662536621
7.161886557,-1.55632019043
7.166889543,-1.56425476074
7.171945005,-1.55685424805
7.176964557,-1.55776977539
7.181968144,-1.50001525879
7.186919511,-1.55822753906
7.191968073,-1.55693054199
7.196876978,-1.55731201172
7.201972723,-1.55540466309
7.206994237,-1.53945922852
7.211880149,-1.55570983887
7.216890257,-1.55700683594
7.221917955,-1.5348815918
7.226937719,-1.55494689941
7.231895077,-1.55624389648
7.236882985,-1.55723571777
7.241921951,-1.55662536621
7.246934842,-1.58706665039
7.25202165,-1.55792236328
7.256964399,-1.55654907227
7.26193964,-1.55654907227
7.266939398,-1.55586242676
7.271938213,-1.56394958496
7.276945743,-1.55693054199
7.281891459,-1.55799865723
7.286942951,-1.61651611328
7.292037132,-1.55609130859
7.296918376,-1.55792236328
7.301877074,-1.55731201172
7.306987033,-1.55654907227
7.312327313,-1.58462524414
7.316957317,-1.55548095703
7.3218956330000005,-1.55586242676
7.3269114,-1.5453338623
7.332236811,-1.55830383301
7.336956954,-1.552734375
7.341906024,-1.55670166016
